Gene_id,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides 1,Peptides 2,Razor + unique peptides 1,Razor + unique peptides 2,Unique peptides 1,Unique peptides 2,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 11,Fraction 12,Q-value,Score,Identification type 1,Identification type 2,Sequence coverage 1 [%],Sequence coverage 2 [%],Intensity,Intensity 1,Intensity 2,iBAQ,iBAQ 1,iBAQ 2,LFQ intensity 1,LFQ intensity 2,MS/MS count 1,MS/MS count 2,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,DSSTP_K site IDs,Oxidation (M) site IDs,DSSTP_K site positions,Oxidation (M) site positions,Gene_desc,fc1,fc2,fc3,log10_score,log10_intensity,log10_iBAQ,pvalues,mean,log_mean,log_pvalues
Tb927.5.4480,Tb927.5.4480:mRNA-p1;Tb05.5K5.130:mRNA-p1,Tb927.5.4480:mRNA-p1;Tb05.5K5.130:mRNA-p1,22;22,22;22,22;22,"Tb927.5.4480:mRNA-p1 | transcript=Tb927.5.4480:mRNA | gene=Tb927.5.4480 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=paraflagellar rod component par4, putative | transcript_product=paraflagellar rod component par4, putative | location=Tb927_",2,22,22,22,1,22,1,22,1,22,34.0,34.0,34.0,68.313,579,579;579,11.4,,1.0,10.0,25.0,0.0,41.007,By MS/MS,By MS/MS,1.6,34.0,104930000,609700,104691160,3279100.0,15778.1,3266757.6,201910,34605766,1,28,29,,,,44,308;415;935;1004;1097;1158;1900;2269;2517;2568;2941;3005;3059;3241;3333;3405;3564;3649;3667;3931;3932;4274,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,323;435;436;980;1053;1148;1211;1985;2361;2616;2681;2682;3082;3150;3205;3389;3486;3565;3727;3816;3834;4117;4118;4473,609;610;611;849;850;1792;1918;1919;2076;2182;2183;3597;3598;4324;4768;4870;4871;5597;5745;5832;6184;6395;6561;6844;6845;6846;7017;7018;7048;7049;7050;7556;7557;7558;7559;8227,645;646;881;882;1830;1949;1950;2093;2190;3621;4366;4822;4921;4922;5680;5851;5926;6272;6540;6752;7056;7057;7058;7221;7245;7246;7898;7899;7900;8601,645;882;1830;1949;2093;2190;3621;4366;4822;4921;5680;5851;5926;6272;6540;6752;7058;7221;7245;7899;7900;8601,,37;38;39;40;41,,176;207;283;324;579,"paraflagellar rod component par4, putative",0.008523343090393333,0.010931954532350402,0.0025297194001557824,1.612857998229136,8.020899672862535,6.515754661190856,2.5966717351647357e-12,0.010129084051698045,-6.6253524691221655,3.999999988722798
Tb927.5.4380,Tb927.5.4380:mRNA-p1;Tb05.5K5.30:mRNA-p1,Tb927.5.4380:mRNA-p1;Tb05.5K5.30:mRNA-p1,3;3,3;3,3;3,"Tb927.5.4380:mRNA-p1 | transcript=Tb927.5.4380:mRNA | gene=Tb927.5.4380 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=kinetoplastid-specific phospho-protein phosphatase, putative | transcript_product=kinetoplastid-specific phospho-protein pho",2,3,3,3,0,3,0,3,0,3,5.5,5.5,5.5,71.37,636,636;636,11.7,,,2.0,4.0,0.0,3.5081,,By MS/MS,0.0,5.5,6004200,177320,6195360,187630.0,2266.1,188887.6,201910,2035166,0,4,4,,,,45,407;1850;3351,True;True;True,427;1931;3508,835;3491;3492;3493;3494;6430,865;3512;3513;6575,865;3513;6575,,42,,543,"kinetoplastid-specific phospho-protein phosphatase, putative",0.042778528208901434,0.029934727524308178,0.052452173793197776,0.5450719646339106,6.7784551501684565,5.273302278567656,2.31666657539844e-09,0.03421599441917259,-4.869185312759761,3.9999899389614386
Tb09.v4.0067,Tb09.v4.0067:pseudogenic_transcript-p1,Tb09.v4.0067:pseudogenic_transcript-p1,2,1,1,"Tb09.v4.0067:pseudogenic_transcript-p1 | transcript=Tb09.v4.0067:pseudogenic_transcript | gene=Tb09.v4.0067 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hot spot protein, pseudogene | transcript_product=retrotransposon hot sp",1,2,1,1,0,2,0,1,0,1,3.6,2.0,2.0,62.718,548,548,12.0,,,,1.0,0.009915,0.54776,,By MS/MS,0.0,3.6,776040,177320,967200,26760.0,2266.1,28017.6,201910,313656,0,1,1,,,,46,2614;4013,True;False,2737;4201,4951;7706,5004;8045,5004;8045,,43,,521,"retrotransposon hot spot protein, pseudogene",0.31181962832727655,0.19680051613874436,0.33603721308284706,-0.26140968514073765,5.889884106994741,4.427486109095786,3.7254512765259756e-05,0.23514022020158842,-2.0884067650732536,3.8624733675566976
Tb927.10.4490,Tb927.10.4490:mRNA-p1;Tb10.v4.0039:mRNA-p1,Tb927.10.4490:mRNA-p1;Tb10.v4.0039:mRNA-p1,1;1,1;1,1;1,"Tb927.10.4490:mRNA-p1 | transcript=Tb927.10.4490:mRNA | gene=Tb927.10.4490 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_10_v5.1:1153298-115",2,1,1,1,0,1,0,1,0,1,1.0,1.0,1.0,115.32,990,990;990,12.0,,,,1.0,0.0,1.5683,,By MS/MS,0.0,1.0,0,177320,191160,0.0,2266.1,1257.6,201910,38766,0,1,1,,,,47,2073,True,2162,3961,3973,3973,,,,,"hypothetical protein, conserved",1.4926911453925609,2.6459847613799767,2.458327712103935,0.19542914245706253,-inf,-inf,0.030454586032925317,2.261553556050838,1.1773141609633926,1.5149235959184342
Tb10.v4.0052,Tb10.v4.0052:mRNA-p1;Tb927.10.10360:mRNA-p1;Tb10.v4.0053:mRNA-p1,Tb10.v4.0052:mRNA-p1;Tb927.10.10360:mRNA-p1;Tb10.v4.0053:mRNA-p1,14;11;11,2;2;2,2;2;2,Tb10.v4.0052:mRNA-p1 | transcript=Tb10.v4.0052:mRNA | gene=Tb10.v4.0052 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=microtubule-associated protein 2 | transcript_product=microtubule-associated protein 2 | location=Tp_ends-39g01.p1k:50-14692,3,14,2,2,6,14,1,2,1,2,60.8,10.8,10.8,561.21,4880,4880;3198;4119,9.0,2.0,,5.0,2.0,0.0,6.4094,By MS/MS,By MS/MS,38.6,60.8,99204000,177320,99395160,263140.0,2266.1,264397.6,201910,12524766,2,6,8,,,,48,726;727;728;834;836;1656;1657;2963;3009;3010;3465;3466;3803;3804,False;False;False;False;False;False;False;False;False;False;False;False;True;True,762;763;764;874;876;1722;1723;1724;3105;3106;3154;3155;3626;3627;3980;3981;3982;3983,1415;1416;1417;1418;1419;1420;1421;1422;1423;1424;1425;1426;1427;1600;1601;1603;1604;3101;3102;3103;3104;3105;3106;5646;5647;5751;5752;5753;5754;6680;6681;6682;6683;6684;6685;6686;6687;6688;6689;6690;7315;7316;7317;7318;7319;7320;7321;7322;7323,1448;1449;1450;1451;1452;1453;1454;1455;1456;1457;1458;1459;1460;1461;1462;1463;1626;1627;1629;1630;3095;3096;3097;3098;3099;3100;3101;3102;5738;5739;5855;5856;5857;5858;6870;6871;6872;6873;6874;6875;6876;6877;6878;6879;6880;6881;6882;6883;6884;6885;6886;6887;6888;6889;6890;6891;6892;7594;7595;7596;7597;7598;7599;7600;7601,1449;1459;1463;1626;1629;3096;3102;5738;5856;5858;6871;6887;7595;7596,,44;45;46;47,,17;169;4824;4861,microtubule-associated protein 2,0.0027250555523176054,0.019930812518437726,0.008764887835583783,0.8068173760265585,7.9965291836753964,5.420186870354286,6.872271322801779e-09,0.014195560196397686,-6.138416406818944,3.999970155130362
Tb927.11.13007,Tb927.11.13007:mRNA-p1;Tb927.11.13003:mRNA-p1;Tb11.v5.0537.1-p1;Tb927.11.9920:mRNA-p1;Tb11.01.1680.v5.1-p1,Tb927.11.13007:mRNA-p1;Tb927.11.13003:mRNA-p1;Tb11.v5.0537.1-p1;Tb927.11.9920:mRNA-p1;Tb11.01.1680.v5.1-p1,3;3;3;3;3,3;3;3;3;3,3;3;3;3;3,Tb927.11.13007:mRNA-p1 | transcript=Tb927.11.13007:mRNA | gene=Tb927.11.13007 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=ubiquitin-60S ribosomal protein L40 | transcript_product=ubiquitin-60S ribosomal protein L40 | location=Tb927_11_v5.1:,5,3,3,3,2,3,2,3,2,3,24.2,24.2,24.2,14.655999999999999,128,128;128;623;685;1283,9.23,1.0,2.0,5.0,5.0,0.0,4.2010000000000005,By MS/MS,By MS/MS,17.2,24.2,50161000,2362820,48166160,8360100.0,366516.1,7997057.6,4526810,8567166,3,6,9,,,,49,1039;1852;3661,True;True;True,1088;1933;3828,1966;1967;1968;3497;3498;3499;3500;3501;3502;3503;7039;7040;7041,1993;1994;3515;3516;3517;3518;3519;7238;7239,1994;3517;7238,,,,,ubiquitin-60S ribosomal protein L40,0.07763637664458244,0.10212778561682802,0.278188832161302,0.6233526815379921,7.7003661859198065,6.9222114723180175,3.952796313420157e-08,0.09396398262607948,-3.411748327072466,3.999828366156746
Tb11.01.2730,Tb11.01.2730.1-p1,Tb11.01.2730.1-p1,5,5,5,"Tb11.01.2730.1-p1 | transcript=Tb11.01.2730.1 | gene=Tb11.01.2730 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_v5.1:2925203-2933674(+) |",1,5,5,5,0,5,0,5,0,5,8.0,8.0,8.0,311.9,2823,2823,11.0,,,5.0,,0.0,3.0869,,By MS/MS,0.0,8.0,1745900,177320,1937060,11264.0,2266.1,12521.6,201910,392806,0,5,5,,,,50,995;2082;2665;2869;3719,True;True;True;True;True,1042;2171;2788;3006;3891,1901;3976;5030;5441;7171,1932;3993;5078;5481;7448,1932;3993;5078;5481;7448,,,,,"hypothetical protein, conserved",0.1446307520940716,0.37273868975614527,0.27219430259250094,0.4895225607578873,6.242019364975552,4.051692641798037,0.0007595668424041821,0.29670271053545405,-1.752909988230303,3.0657203456685362
Tb11.v5.0676,Tb11.v5.0676.1-p1;Tb927.3.2510.2-p1;Tb11.v5.0789.1-p1;Tb11.v5.0816.1-p1;Tb927.3.5810:pseudogenic_transcript-p1;Tb927.1.5100:mRNA-p1;Tb927.6.540:mRNA-p1;Tb927.3.570:mRNA-p1;Tb927.1.4890:mRNA-p1;Tb11.01.6241.1-p1;Tb11.01.6240.1-p1;Tb927.3.2510.1-p1;Tb927.6.500:mRNA-p1;Tb927.6.470:mRNA-p1;Tb927.1.2040:mRNA-p1;Tb927.9.7410:mRNA-p1;Tb927.9.7330:mRNA-p1,Tb11.v5.0676.1-p1;Tb927.3.2510.2-p1;Tb11.v5.0789.1-p1;Tb11.v5.0816.1-p1;Tb927.3.5810:pseudogenic_transcript-p1;Tb927.1.5100:mRNA-p1;Tb927.6.540:mRNA-p1;Tb927.3.570:mRNA-p1;Tb927.1.4890:mRNA-p1;Tb11.01.6241.1-p1;Tb11.01.6240.1-p1;Tb927.3.2510.1-p1;Tb927.6.500:mRNA-p1;Tb927.6.470:mRNA-p1;Tb927.1.2040:mRNA-p1;Tb927.9.7410:mRNA-p1;Tb927.9.7330:mRNA-p1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,"Tb11.v5.0676.1-p1 | transcript=Tb11.v5.0676.1 | gene=Tb11.v5.0676 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=expression site-associated gene 2 (ESAG2) protein, putative | transcript_product=expression site-associated gene 2 (ESAG2) protein",17,1,1,1,0,1,0,1,0,1,3.6,3.6,3.6,34.162,308,308;341;399;415;429;453;454;454;454;455;455;456;457;457;460;472;472,12.0,,,,1.0,0.0077399,0.7205600000000001,,By MS/MS,0.0,3.6,2750500,177320,2941660,196470.0,2266.1,197727.6,201910,1013066,0,1,1,,,,51,450,True,474,923,956,956,,,,,"expression site-associated gene 2 (ESAG2) protein, putative",0.10047839618431725,0.02764136229156931,0.10252886191786796,-0.142329850264299,6.439411649285785,5.293296245148464,2.569210132625542e-06,0.05192037358915195,-4.267555425596422,3.9889829888959785
Tb927.6.4980,Tb927.6.4980:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb11.0390:mRNA-p1;Tb11.0290:mRNA-p1,Tb927.6.4980:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb11.0390:mRNA-p1;Tb11.0290:mRNA-p1,2;2;2;2,2;2;2;2,2;2;2;2,Tb927.6.4980:mRNA-p1 | transcript=Tb927.6.4980:mRNA | gene=Tb927.6.4980 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S14 | transcript_product=40S ribosomal protein S14 | location=Tb927_06_v5.1:1370239-1370673(+) | prote,4,2,2,2,2,2,2,2,2,2,16.7,16.7,16.7,15.513,144,144;144;144;144,8.33,,2.0,2.0,2.0,0.0,4.0335,By MS/MS,By MS/MS,16.7,16.7,5264400,1405920,4226960,752050.0,177776.1,577797.6,1601210,1150266,2,3,5,,,,52,1719;3357,True;True,1794;3514,3220;3221;3222;6437;6438;6439,3208;3209;3210;6581;6582,3210;6581,,,,,40S ribosomal protein S14,0.5810714046656238,0.5657004613566422,0.7504585951298481,0.6056820612789828,6.72134888045257,5.876246715594605,1.2176276709485703e-07,0.5708241091263028,-0.8088818256265518,3.9994715127066147
Tb11.v5.0996,Tb11.v5.0996.1-p1;Tb11.1220:mRNA-p1;Tb927.10.15250:mRNA-p1,Tb11.v5.0996.1-p1;Tb11.1220:mRNA-p1;Tb927.10.15250:mRNA-p1,8;8;7,8;8;7,8;8;7,"Tb11.v5.0996.1-p1 | transcript=Tb11.v5.0996.1 | gene=Tb11.v5.0996 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_11_bin_v5.1:5170885-5172342(",3,8,8,8,1,8,1,8,1,8,17.7,17.7,17.7,57.799,485,485;485;485,10.7,,1.0,7.0,5.0,0.0,15.089,By MS/MS,By MS/MS,2.3,17.7,14693000,177320,14884160,587720.0,2266.1,588977.6,201910,3906566,1,10,11,,,,53,619;887;1073;1816;2027;2306;2310;4312,True;True;True;True;True;True;True;True,647;929;1123;1893;2116;2400;2404;4512,1221;1222;1691;2031;3423;3879;3880;4388;4393;4394;8292;8293;8294,1261;1262;1710;2053;3441;3893;4436;4441;4442;8666;8667,1262;1710;2053;3441;3893;4436;4441;8667,,,,,"hypothetical protein, conserved",0.017108766039233708,0.008523343090393333,0.027043498891140483,1.178660458538169,7.1671104785966575,5.76917046992462,4.21289109368884e-10,0.01138515074000679,-6.456702796813972,3.999998170368499
